5.0 0.0 0.035 -0.035 0.0
# T[GeV] y Γ_s[GeV] Γ̄_s[GeV] s[GeV^3] H[GeV] P[GeV^4] dtdT[GeV^-2] Va[GeV] Vabar[GeV]
1.0000000000e-02 1.0000e-01 1.149e-18 2.134e-18 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 2.6061e-01 2.925e-18 5.244e-18 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 4.2121e-01 4.959e-18 8.898e-18 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 5.8182e-01 6.826e-18 1.177e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 7.4242e-01 8.640e-18 1.415e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 9.0303e-01 1.089e-17 1.755e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.0636e+00 1.331e-17 2.117e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.2242e+00 1.572e-17 2.453e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.3848e+00 1.858e-17 2.882e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.5455e+00 2.150e-17 3.317e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.7061e+00 2.372e-17 3.554e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.8667e+00 2.638e-17 3.894e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 2.0273e+00 2.944e-17 4.309e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 2.1879e+00 3.224e-17 4.646e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 2.3485e+00 3.551e-17 5.083e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 2.5091e+00 3.932e-17 5.623e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 2.6697e+00 4.169e-17 5.854e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 2.8303e+00 4.447e-17 6.182e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 2.9909e+00 4.778e-17 6.611e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 3.1515e+00 5.078e-17 6.957e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 3.3121e+00 5.412e-17 7.380e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 3.4727e+00 5.803e-17 7.911e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 3.6333e+00 6.089e-17 8.222e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 3.7939e+00 6.362e-17 8.531e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 3.9545e+00 6.686e-17 8.940e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 4.1152e+00 7.004e-17 9.314e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 4.2758e+00 7.330e-17 9.716e-17 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 4.4364e+00 7.714e-17 1.023e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 4.5970e+00 8.041e-17 1.061e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 4.7576e+00 8.303e-17 1.090e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 4.9182e+00 8.619e-17 1.129e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 5.0788e+00 8.944e-17 1.169e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 5.2394e+00 9.263e-17 1.207e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 5.4000e+00 9.640e-17 1.256e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 5.5606e+00 9.999e-17 1.302e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 5.7212e+00 1.026e-16 1.329e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 5.8818e+00 1.056e-16 1.365e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 6.0424e+00 1.090e-16 1.407e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 6.2030e+00 1.121e-16 1.443e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 6.3636e+00 1.158e-16 1.490e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 6.5242e+00 1.198e-16 1.543e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 6.6848e+00 1.223e-16 1.569e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 6.8455e+00 1.253e-16 1.603e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 7.0061e+00 1.288e-16 1.648e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 7.1667e+00 1.319e-16 1.682e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 7.3273e+00 1.354e-16 1.726e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 7.4879e+00 1.396e-16 1.781e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
